id,loss
4,1501.6415
6,2087.8062
9,8525.243
12,5690.954
15,853.30054
17,2158.215
21,2195.3928
28,908.0663
32,2222.1292
43,3224.21
46,2821.0076
50,929.5659
54,1208.8269
62,1883.3525
70,2376.9062
71,4458.289
75,2257.0283
77,2044.0024
81,2643.7583
83,2357.4673
87,1944.4187
97,1469.4746
103,1249.8727
119,1063.649
120,1918.9363
127,1005.6681
138,3788.3083
141,3447.5393
148,759.61426
150,2683.202
151,2281.4373
158,1559.6897
160,5174.764
165,2568.63
168,3792.4028
169,3578.223
177,2825.4133
178,2811.0325
184,1942.6821
194,9408.079
198,1694.0327
203,3871.3171
211,2569.3655
217,1281.0281
219,1469.7549
221,4113.5166
227,1725.6738
230,1473.5602
235,1992.4099
240,687.5332
243,2960.36
249,7105.5386
253,2648.4148
258,1498.3463
261,1683.6649
263,3450.8347
264,2447.3647
265,4343.7583
268,1790.7671
271,1187.7213
274,5433.4185
275,676.56964
279,1457.1976
282,1502.6781
286,3051.2407
288,1264.8595
294,2232.857
296,1027.0587
297,1497.6525
300,776.96136
303,8396.272
314,1297.3024
315,4533.4067
321,2614.9946
323,3932.419
330,3765.197
341,1928.6938
342,4185.3823
352,1658.0709
353,3838.4895
360,4421.3374
361,2331.8408
362,4543.068
366,1308.4921
372,3623.5908
376,2718.088
377,2201.7312
379,1534.8164
380,3858.4197
387,1932.471
392,2030.9731
394,11047.314
395,1560.3074
397,1430.7771
407,5528.6353
411,9350.2705
416,2337.7307
417,1481.922
419,4078.7524
428,5133.247
431,1746.437
436,9369.517
438,1532.7404
445,6725.9326
446,7737.3887
455,1316.6848
456,1331.806
461,960.4796
463,1948.0056
464,3673.3801
466,1759.3678
467,1345.0721
470,1229.1599
475,1376.0065
482,3396.9873
490,3487.766
496,2070.4465
497,4089.727
508,2800.332
510,1901.7058
512,1514.964
513,3273.7778
523,1776.1115
531,5140.495
532,2199.3025
533,1361.0405
537,1129.9313
544,4815.0557
547,2613.2717
556,8034.128
565,1295.0701
566,1266.1954
571,1535.8838
573,1410.9128
574,814.75244
581,2109.8513
585,1949.0691
589,1844.0331
597,1777.3661
601,4206.251
602,1570.2003
613,1713.5137
616,1414.1914
619,2205.1477
622,2279.1213
623,1961.5374
629,1517.8104
634,1601.2872
638,997.75
642,1149.4886
643,1982.1077
645,1046.3231
648,6556.4087
652,1324.9242
664,1006.07104
666,2071.158
672,925.4552
676,2049.3933
